team,avg_total_corners,avg_team_corners,avg_enemy_corners
Реал Мадрид,12.6,8.9,3.7
Эспаньол,11.8,4.8,7
Райо Вальекано,11.6,6,5.6
Мальорка,11.6,2.9,8.7
Ньюкасл Юнайтед,11.5,6.1,5.4
Реал Сосьедад,11.1,6.2,4.9
Алавес,11,5.5,5.5
Барселона,10.8,8.2,2.6
Вильярреал,10.7,4.6,6.1
Бетис,10.7,5,5.7
Арсенал,10.7,6.7,4
Челси,10.7,6.5,4.2
Манчестер Юнайтед,10.5,5.7,4.8
Эвертон,10.4,3.9,6.5
Брентфорд,10.3,4.6,5.7
Осасуна,10.1,5.7,4.4
Ливерпуль,10.1,7.5,2.6
Саутгемптон,10.1,3.3,6.8
Леганес,10,3.5,6.5
Ноттингем Форест,10,3.8,6.2
Ипсвич Таун,10,3.3,6.7
Жирона,9.9,4.1,5.8
Астон Вилла,9.9,4.8,5.1
Фулхэм,9.8,5.3,4.5
Сельта,9.7,5.1,4.6
Вальядолид,9.5,4.8,4.7
Борнмут,9.4,5.4,4
Валенсия,9.3,3.7,5.6
Атлетик,9.1,4.1,5
Лас-Пальмас,9,5,4
Вест Хэм,9,3.1,5.9
Лестер,9,4,5
Тоттенхэм,8.8,3.8,5
Атлетико,8.6,5.3,3.3
Кристал Пэлас,8.5,3.8,4.7
Брайтон,8.3,5,3.3
Вулверхэмптон,8.3,4.6,3.7
Севилья,8.2,4.3,3.9
Манчестер Сити,8.2,5.6,2.6
Хетафе,7.8,3.9,3.9
